,id,genre_ids,original_title,title,release_date,popularity,vote_average,vote_count,budget,revenue,imdb_id,originalTitle,startYear,genres,averageRating,numVotes,Gross Profit
508,456048,"['Action', 'Adventure', 'Science Fiction']",The Humanity Bureau,The Humanity Bureau,2017-07-11,8.558,49.0,140,6000000.0,17544173.0,tt6143568,The Humanity Bureau,2017.0,"Action,Adventure,Sci-Fi",5.2,8182,11544173.0
511,500852,['Action'],Miss Bala,Miss Bala,2019-02-01,9.079,62.0,165,15000000.0,15200000.0,tt5941692,Miss Bala,2019.0,"Action,Crime,Drama",5.7,6490,200000.0
513,412988,"['Action', 'Comedy', 'Crime']",The Happytime Murders,The Happytime Murders,2018-08-22,8.562999999999999,57.0,550,40000000.0,27506452.0,tt1308728,The Happytime Murders,2018.0,"Action,Comedy,Crime",5.4,21632,-12493548.0
519,292280,"['Horror', 'Thriller']",The Bye Bye Man,The Bye Bye Man,2017-01-12,11.538,51.0,802,7400000.0,26667197.0,tt4030600,The Bye Bye Man,2017.0,"Drama,Fantasy,Horror",4.2,19730,19267197.0
532,399360,"['Adventure', 'Drama']",Alpha,Alpha,2018-08-17,14.055,60.0,1383,51000000.0,35808437.0,tt4244998,Alpha,2018.0,"Adventure,Drama,Family",6.7,48435,-15191563.0
535,620683,['Comedy'],Minha Mãe é Uma Peça 3: O Filme,My Mom is a Character 3,2019-12-26,12.017000000000001,85.0,152,2000000.0,34484412.0,tt10611372,Minha Mãe é uma Peça 3: O Filme,2019.0,Comedy,7.3,848,32484412.0
541,489925,"['Comedy', 'Drama']",Eighth Grade,Eighth Grade,2018-01-19,11.466,75.0,708,2000000.0,13539709.0,tt7014006,Eighth Grade,2018.0,"Comedy,Drama",7.4,53263,11539709.0
545,438689,"['Crime', 'Thriller', 'Romance']",Siberia,Siberia,2018-07-13,9.511000000000001,43.0,199,2000000.0,2006704.0,tt6494418,Siberia,2018.0,"Crime,Romance,Thriller",4.3,10480,6704.0
570,437586,"['Comedy', 'Drama']",mid90s,mid90s,2018-10-19,13.427,73.0,548,258157.0,6897446.0,tt5613484,Mid90s,2018.0,"Comedy,Drama",7.4,36679,6639289.0
574,376866,['Drama'],Jackie,Jackie,2016-12-02,13.151,65.0,1585,9000000.0,13960394.0,tt1619029,Jackie,2016.0,"Biography,Drama,History",6.7,69161,4960394.0
578,420426,"['Action', 'Fantasy', 'Adventure']",Bleach,Bleach,2018-07-20,7.91,65.0,282,3598902.0,4001919.0,tt5979872,Bleach: Burîchu,2018.0,"Action,Adventure,Fantasy",6.4,9320,403017.0
582,470878,"['Drama', 'Music']",I Can Only Imagine,I Can Only Imagine,2018-02-14,9.947000000000001,74.0,209,7000000.0,86026201.0,tt6450186,I Can Only Imagine,2018.0,"Biography,Drama,Family",7.3,12744,79026201.0
583,346808,"['Action', 'Thriller']",Momentum,Momentum,2015-08-01,10.925999999999998,58.0,316,20000000.0,133332.0,tt3181776,Momentum,2015.0,"Action,Crime,Thriller",5.5,13314,-19866668.0
587,542921,"['Drama', 'History', 'War']",Mientras dure la guerra,While at War,2019-09-27,11.288,75.0,87,4735684.0,12277353.0,tt7818580,Mientras dure la guerra,2019.0,"Drama,History,War",7.1,3034,7541669.0
589,434555,"['Drama', 'Horror']",The Possession of Hannah Grace,The Possession of Hannah Grace,2018-11-29,10.151,52.0,589,7700000.0,41036181.0,tt5734576,The Possession of Hannah Grace,2018.0,"Horror,Mystery,Thriller",5.2,15672,33336181.0
594,407890,"['Drama', 'Adventure']",Lean on Pete,Lean on Pete,2018-04-06,9.432,69.0,160,8000000.0,2455027.0,tt5340300,Lean on Pete,2017.0,"Adventure,Drama,Sport",7.2,9750,-5544973.0
607,336882,"['Action', 'Drama', 'Thriller']",Bølgen,The Wave,2015-08-28,7.652,66.0,672,5904067.0,12975143.0,tt3616916,Bølgen,2015.0,"Drama,Thriller",6.7,30454,7071076.0
608,426613,['Drama'],The Miseducation of Cameron Post,The Miseducation of Cameron Post,2018-07-18,11.165,70.0,452,900000.0,2019874.0,tt6257174,The Miseducation of Cameron Post,2018.0,Drama,6.6,16103,1119874.0
612,323677,"['Action', 'Drama']",Race,Race,2016-02-19,11.642999999999999,72.0,1013,5000000.0,24804129.0,tt3499096,Race,2016.0,"Biography,Drama,Sport",7.1,32422,19804129.0
621,429189,['Drama'],Wonder Wheel,Wonder Wheel,2017-12-01,10.647,64.0,835,25000000.0,15366466.0,tt5825380,Wonder Wheel,2017.0,Drama,6.2,22343,-9633534.0
628,353069,"['Comedy', 'Drama', 'Romance']",Mother's Day,Mother's Day,2016-04-28,9.634,60.0,876,25000000.0,48418160.0,tt4824302,Mother's Day,2016.0,"Comedy,Drama,Romance",5.7,30450,23418160.0
631,500475,"['Action', 'Crime']",SuperFly,SuperFly,2018-06-13,10.149,63.0,149,16000000.0,20545116.0,tt7690670,Superfly,2018.0,"Action,Crime,Thriller",5.1,5521,4545116.0
638,514277,"['Crime', 'Horror', 'Thriller']",Mara,Mara,2018-09-07,8.39,54.0,166,5000000.0,470901.0,tt1773753,Mara,2018.0,"Crime,Horror,Thriller",5.1,5486,-4529099.0
641,454283,"['Comedy', 'Drama']",Action Point,Action Point,2018-06-01,8.631,52.0,188,19000000.0,5059608.0,tt6495770,Action Point,2018.0,Comedy,5.1,8499,-13940392.0
648,401545,['Drama'],Todos lo saben,Everybody Knows,2018-05-09,7.121,65.0,535,11318430.0,17997350.0,tt4964788,Todos lo saben,2018.0,"Crime,Drama,Mystery",6.9,24423,6678920.0
659,514619,"['Comedy', 'Romance']",Nobody's Fool,Nobody's Fool,2018-10-31,8.863,62.0,151,19000000.0,29152618.0,tt8097306,Nobody's Fool,2018.0,"Comedy,Drama,Romance",4.7,5230,10152618.0
665,330947,"['Drama', 'Romance']",Song to Song,Song to Song,2017-03-17,12.327,54.0,530,10000000.0,1710528.0,tt2062700,Song to Song,2017.0,"Drama,Music,Romance",5.7,16866,-8289472.0
669,347026,"['Drama', 'History']",A United Kingdom,A United Kingdom,2016-11-25,8.079,68.0,318,14000000.0,13819139.0,tt3387266,A United Kingdom,2016.0,"Biography,Drama,Romance",6.8,13008,-180861.0
674,270774,"['Action', 'Comedy', 'Mystery', 'Thriller']",Skiptrace,Skiptrace,2016-07-21,8.821,56.0,364,32000000.0,58500000.0,tt2238032,Jue di tao wang,2016.0,"Action,Adventure,Comedy",5.7,18031,26500000.0
682,350312,"['Action', 'Drama']",Baahubali 2: The Conclusion,Baahubali 2: The Conclusion,2017-04-27,11.065999999999999,70.0,282,31000000.0,275947313.0,tt4849438,Baahubali 2: The Conclusion,2017.0,"Action,Drama",8.2,69391,244947313.0
689,470333,"['Comedy', 'Drama', 'Music']",Hearts Beat Loud,Hearts Beat Loud,2018-06-08,9.822000000000001,74.0,117,2000000.0,2115765.0,tt7158430,Hearts Beat Loud,2018.0,"Comedy,Drama,Music",6.9,8135,115765.0
697,534780,"['Crime', 'Thriller']",अंधाधुन,Andhadhun,2018-10-05,9.568,78.0,142,4500000.0,40000000.0,tt8108198,Andhadhun,2018.0,"Crime,Thriller",8.3,56121,35500000.0
708,465914,"['Drama', 'Romance']",If Beale Street Could Talk,If Beale Street Could Talk,2018-12-14,11.862,71.0,600,12000000.0,20572691.0,tt7125860,If Beale Street Could Talk,2018.0,"Drama,Romance",7.1,34774,8572691.0
713,454293,['Comedy'],Night School,Night School,2018-09-27,11.834000000000001,60.0,960,29000000.0,33157615.0,tt6781982,Night School,2018.0,Comedy,5.6,29694,4157615.0
737,257088,"['Action', 'Crime', 'Thriller']",Point Break,Point Break,2015-12-03,11.605,57.0,1405,105000000.0,133718711.0,tt2058673,Point Break,2015.0,"Action,Crime,Sport",5.3,55648,28718711.0
773,283552,"['Drama', 'Romance']",The Light Between Oceans,The Light Between Oceans,2016-09-02,10.472000000000001,71.0,939,20000000.0,25956113.0,tt2547584,The Light Between Oceans,2016.0,"Drama,Romance",7.2,48864,5956113.0
775,220882,"['Crime', 'Drama', 'Mystery', 'Thriller']",London Fields,London Fields,2018-09-20,8.988999999999999,50.0,105,8000000.0,252676.0,tt1273221,London Fields,2018.0,"Crime,Mystery,Thriller",4.3,4451,-7747324.0
783,395993,['Drama'],Stronger,Stronger,2017-09-22,8.466000000000001,70.0,896,30000000.0,8484418.0,tt3881784,Stronger,2017.0,"Biography,Drama",6.9,36806,-21515582.0
812,503616,"['Comedy', 'Romance']",Second Act,Second Act,2018-11-22,10.708,62.0,622,16000000.0,72282227.0,tt2126357,Second Act,2018.0,"Comedy,Drama,Romance",5.8,18929,56282227.0
842,534313,"['Adventure', 'Animation', 'Comedy', 'Family']",La course des tuques 3D,Racetime,2018-12-07,8.452,48.0,9,3000000.0,12000000.0,tt8925540,Racetime,2018.0,"Adventure,Animation,Comedy",5.5,280,9000000.0
872,454292,"['Action', 'Thriller']",సాహో,Saaho,2019-08-29,5.824,66.0,37,51000000.0,55000000.0,tt6836936,Saaho,2019.0,"Action,Thriller",5.3,13732,4000000.0
874,513434,"['Comedy', 'Horror']",カメラを止めるな！,One Cut of the Dead,2017-11-04,8.334,79.0,170,30000.0,200000000.0,tt7914416,Kamera wo tomeruna!,2017.0,"Comedy,Horror",7.7,11561,199970000.0
875,572164,"['Action', 'Comedy']",엑시트,EXIT,2019-07-31,6.276,75.0,36,10892000.0,68325551.0,tt10648440,Eksiteu,2019.0,"Action,Comedy",7.0,1922,57433551.0
889,432527,"['Drama', 'History', 'Music', 'Romance', 'War']",पद्मावत,Padmaavat,2018-01-25,6.372999999999999,69.0,147,31000000.0,81673897.0,tt5935704,Padmaavat,2018.0,"Drama,History,Romance",7.0,25282,50673897.0
919,491625,"['Drama', 'Music']",गल्ली बॉय,Gully Boy,2019-02-14,7.615,78.0,58,5782853.0,33974264.0,tt2395469,Gully Boy,2019.0,"Drama,Music",8.2,24915,28191411.0
965,296360,"['Comedy', 'Drama', 'Romance']",Love & Friendship,Love & Friendship,2016-05-26,7.807,62.0,322,3000000.0,14016568.0,tt3068194,Love & Friendship,2016.0,"Comedy,Drama,Romance",6.4,21979,11016568.0
985,416186,"['Comedy', 'Drama', 'Romance']",Le Redoutable,Godard Mon Amour,2017-06-24,6.995,68.0,191,12840746.0,82264.0,tt5687334,Le Redoutable,2017.0,"Biography,Comedy,Drama",6.6,3951,-12758482.0
997,502682,"['Comedy', 'Drama', 'Romance']",Book Club,Book Club,2018-05-18,7.797000000000001,61.0,414,10000000.0,78720293.0,tt6857166,Book Club,2018.0,"Comedy,Drama,Romance",6.1,22132,68720293.0
1018,271706,"['Adventure', 'Animation', 'Fantasy']",大魚海棠,Big Fish & Begonia,2016-07-08,7.016,76.0,197,4531653.0,84552250.0,tt1920885,Dayu haitang,2016.0,"Adventure,Animation,Drama",7.1,3964,80020597.0
1054,451955,"['Drama', 'Thriller', 'Romance']",L'Amant Double,Double Lover,2017-05-26,5.996,61.0,266,7110000.0,4248574.0,tt6367558,L'amant double,2017.0,"Drama,Romance,Thriller",6.2,9044,-2861426.0
1057,415214,"['Action', 'Adventure', 'Crime', 'War']",湄公河行動,Operation Mekong,2016-09-30,4.961,64.0,74,30200000.0,173000000.0,tt6044910,Mei Gong he xing dong,2016.0,"Action,Adventure,Crime",6.6,3702,142800000.0
1067,585268,"['Action', 'Thriller']",War,War,2019-10-02,7.077000000000001,69.0,58,27941858.0,66293455.0,tt7430722,War,2019.0,"Action,Thriller",6.5,15621,38351597.0
1077,400728,"['Drama', 'War']",Tuntematon sotilas,Unknown Soldier,2017-10-27,6.414,78.0,56,8000000.0,15550000.0,tt4065552,Tuntematon sotilas,2017.0,"Drama,War",7.8,7706,7550000.0
1097,376166,"['Drama', 'Romance']",Mal de pierres,From the Land of the Moon,2016-10-19,6.218999999999999,66.0,194,10300000.0,47748.0,tt3794028,Mal de pierres,2016.0,"Drama,Romance",6.7,4903,-10252252.0
1102,507505,"['Crime', 'Drama']",El Ángel,El Angel,2018-08-09,7.43,70.0,161,3000000.0,10452324.0,tt7204348,El Ángel,2018.0,"Biography,Crime,Drama",7.0,7227,7452324.0
1111,336050,"['Drama', 'Thriller', 'War']",Saul fia,Son of Saul,2015-06-11,8.791,72.0,596,1000000.0,1777043.0,tt3808342,Saul fia,2015.0,"Drama,War",7.5,41718,777043.0
1112,606952,['Drama'],La dea fortuna,The Fortune Goddess,2019-12-19,4.931,73.0,131,4000000.0,8277796.0,tt10256570,La dea fortuna,2019.0,Drama,6.4,689,4277796.0
1178,245846,"['Drama', 'Thriller', 'Mystery']",Strangerland,Strangerland,2015-07-01,6.9110000000000005,53.0,150,10000000.0,17472.0,tt2325977,Strangerland,2015.0,"Drama,Mystery,Thriller",5.2,8299,-9982528.0
1179,459616,['Comedy'],Alad'2,Alad'2,2018-10-03,5.186,49.0,232,18900000.0,25498160.0,tt7136896,Alad'2,2018.0,Comedy,3.2,683,6598160.0
1288,577328,"['Action', 'Drama', 'Romance']",कबीर सिंह,Kabir Singh,2019-06-20,6.3260000000000005,71.0,47,8751000.0,55478164.0,tt8983202,Kabir Singh,2019.0,"Drama,Romance",7.1,22654,46727164.0
1338,535389,"['Action', 'Drama', 'History', 'War']",안시성,The Great Battle,2018-09-19,4.272,72.0,39,13305000.0,41509280.0,tt6931414,Ansisung,2018.0,"Action,Drama,History",7.0,2960,28204280.0
1350,517331,"['Drama', 'Mystery', 'Thriller']",El reino,The Realm,2018-09-28,5.347,73.0,183,4552700.0,1932261.0,tt7095482,El reino,2018.0,"Drama,Thriller",7.2,5086,-2620439.0
1411,573150,"['Drama', 'Thriller']",El asesino de los caprichos,The Goya Murders,2019-10-18,3.907,58.0,8,2700000.0,443038.0,tt9173002,El asesino de los caprichos,2019.0,"Crime,Drama,Mystery",4.9,155,-2256962.0
1457,441889,"['Drama', 'Music']",सीक्रेट सुपरस्टार,Secret Superstar,2017-10-19,4.697,77.0,72,286284.0,137416709.0,tt6108090,Secret Superstar,2017.0,"Drama,Music",7.9,18326,137130425.0
1493,403390,"['War', 'Drama', 'History', 'Romance']",Bitter Harvest,Bitter Harvest,2017-01-31,4.648,61.0,46,20000000.0,557241.0,tt3182620,Bitter Harvest,2017.0,"Drama,Romance,War",6.0,3305,-19442759.0
1503,273899,['Drama'],Stonewall,Stonewall,2015-09-18,5.071000000000001,63.0,77,13500000.0,187674.0,tt3018070,Stonewall,2015.0,"Drama,History",5.2,3229,-13312326.0
1509,567646,"['Action', 'Comedy']",극한직업,Extreme Job,2019-01-23,5.084,72.0,43,8120000.0,119932733.0,tt9541602,Geukhanjikeob,2019.0,"Action,Comedy,Crime",7.0,3684,111812733.0
1527,373449,"['Action', 'Science Fiction']",2.0,2.0,2018-11-29,3.372,60.0,53,77000000.0,114629169.0,tt5080556,2.0,2018.0,"Action,Sci-Fi",6.3,19508,37629169.0
1532,656858,"['Drama', 'Thriller', 'Mystery', 'Action']",ഡ്രൈവിംഗ് ലൈസെൻസ്,Driving Licence,2019-12-20,4.895,73.0,12,704334.0,3803406.0,tt9264336,Driving Licence,2019.0,"Comedy,Drama,Thriller",7.2,847,3099072.0
1543,509733,"['Adventure', 'Animation', 'Comedy', 'Family']",Die sagenhaften Vier,Spy Cat,2019-04-11,4.401,67.0,12,9000000.0,3882729.0,tt5746054,Marnies Welt,2018.0,"Adventure,Animation,Family",5.6,583,-5117271.0
1644,447332,"['Drama', 'Horror', 'Science Fiction']",A Quiet Place,A Quiet Place,2018-04-03,41.61,73.0,7316,17000000.0,340677200.0,tt6644200,A Quiet Place,2018.0,"Drama,Horror,Sci-Fi",7.5,355532,323677200.0
1645,284053,"['Action', 'Adventure', 'Comedy', 'Fantasy']",Thor: Ragnarok,Thor: Ragnarok,2017-10-25,38.704,75.0,13135,180000000.0,853977126.0,tt3501632,Thor: Ragnarok,2017.0,"Action,Adventure,Comedy",7.9,535327,673977126.0
1646,181808,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",Star Wars: The Last Jedi,Star Wars: The Last Jedi,2017-12-13,31.73,70.0,9926,200000000.0,1332459537.0,tt2527336,Star Wars: Episode VIII - The Last Jedi,2017.0,"Action,Adventure,Fantasy",7.0,525982,1132459537.0
1647,335984,"['Drama', 'Science Fiction']",Blade Runner 2049,Blade Runner 2049,2017-10-04,36.189,74.0,7745,150000000.0,259239658.0,tt1856101,Blade Runner 2049,2017.0,"Action,Drama,Mystery",8.0,415325,109239658.0
1648,284054,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",Black Panther,Black Panther,2018-02-13,34.269,74.0,14336,200000000.0,1346739107.0,tt1825683,Black Panther,2018.0,"Action,Adventure,Sci-Fi",7.3,566076,1146739107.0
1649,283995,"['Action', 'Adventure', 'Comedy', 'Science Fiction']",Guardians of the Galaxy Vol. 2,Guardians of the Galaxy Vol. 2,2017-04-19,32.86,76.0,14125,200000000.0,863756051.0,tt3896198,Guardians of the Galaxy Vol. 2,2017.0,"Action,Adventure,Comedy",7.6,525762,663756051.0
1650,141052,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",Justice League,Justice League,2017-11-15,34.471,62.0,8504,300000000.0,657924295.0,tt0974015,Justice League,2017.0,"Action,Adventure,Fantasy",6.4,355055,357924295.0
1651,293660,"['Action', 'Adventure', 'Comedy']",Deadpool,Deadpool,2016-02-09,41.637,76.0,21908,58000000.0,783100000.0,tt1431045,Deadpool,2016.0,"Action,Adventure,Comedy",8.0,859680,725100000.0
1652,383498,"['Action', 'Adventure', 'Comedy']",Deadpool 2,Deadpool 2,2018-05-10,37.89,75.0,10486,110000000.0,741547413.0,tt5463162,Deadpool 2,2018.0,"Action,Adventure,Comedy",7.7,438143,631547413.0
1653,254128,"['Action', 'Drama', 'Thriller']",San Andreas,San Andreas,2015-05-27,25.142,61.0,5638,110000000.0,470490832.0,tt2126355,San Andreas,2015.0,"Action,Adventure,Drama",6.0,200802,360490832.0
1654,348350,"['Adventure', 'Science Fiction']",Solo: A Star Wars Story,Solo: A Star Wars Story,2018-05-15,25.561,66.0,4886,250000000.0,392952373.0,tt3778644,Solo: A Star Wars Story,2018.0,"Action,Adventure,Sci-Fi",6.9,261308,142952373.0
1656,353081,"['Action', 'Adventure']",Mission: Impossible - Fallout,Mission: Impossible - Fallout,2018-07-13,27.55,73.0,4648,178000000.0,791017452.0,tt4912910,Mission: Impossible - Fallout,2018.0,"Action,Adventure,Thriller",7.8,263025,613017452.0
1657,300671,"['Action', 'History', 'Thriller']",13 Hours: The Secret Soldiers of Benghazi,13 Hours: The Secret Soldiers of Benghazi,2016-01-13,26.693,71.0,1781,50000000.0,69411370.0,tt4172430,13 Hours,2016.0,"Action,Drama,History",7.3,109830,19411370.0
1658,135397,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",Jurassic World,Jurassic World,2015-06-06,25.921,66.0,15085,150000000.0,1671713208.0,tt0369610,Jurassic World,2015.0,"Action,Adventure,Sci-Fi",7.0,556879,1521713208.0
1659,363088,"['Action', 'Adventure', 'Comedy', 'Science Fiction']",Ant-Man and the Wasp,Ant-Man and the Wasp,2018-07-04,26.395,69.0,7722,140000000.0,622674139.0,tt5095030,Ant-Man and the Wasp,2018.0,"Action,Adventure,Comedy",7.1,277763,482674139.0
1660,353486,"['Action', 'Adventure', 'Comedy', 'Fantasy']",Jumanji: Welcome to the Jungle,Jumanji: Welcome to the Jungle,2017-12-09,24.861,67.0,8603,90000000.0,962102237.0,tt2283362,Jumanji: Welcome to the Jungle,2017.0,"Action,Adventure,Comedy",6.9,287354,872102237.0
1661,76757,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",Jupiter Ascending,Jupiter Ascending,2015-02-04,22.513,53.0,4798,176000003.0,183987723.0,tt1617661,Jupiter Ascending,2015.0,"Action,Adventure,Sci-Fi",5.3,171912,7987720.0
1662,254470,"['Comedy', 'Music']",Pitch Perfect 2,Pitch Perfect 2,2015-05-07,26.86,69.0,3945,29000000.0,287506194.0,tt2848292,Pitch Perfect 2,2015.0,"Comedy,Music",6.4,135814,258506194.0
1663,336843,"['Action', 'Science Fiction']",Maze Runner: The Death Cure,Maze Runner: The Death Cure,2018-01-10,22.941999999999997,70.0,4497,62000000.0,284881603.0,tt4500922,Maze Runner: The Death Cure,2018.0,"Action,Adventure,Sci-Fi",6.2,100516,222881603.0
1664,354912,"['Animation', 'Family', 'Comedy', 'Adventure', 'Fantasy']",Coco,Coco,2017-10-27,23.123,82.0,10352,175000000.0,800526015.0,tt2380307,Coco,2017.0,"Adventure,Animation,Family",8.4,322211,625526015.0
1665,337167,"['Drama', 'Romance']",Fifty Shades Freed,Fifty Shades Freed,2018-01-17,37.342,62.0,3958,55000000.0,368307760.0,tt4477536,Fifty Shades Freed,2018.0,"Drama,Romance,Thriller",4.5,49186,313307760.0
1666,263115,"['Action', 'Drama', 'Science Fiction']",Logan,Logan,2017-02-28,32.507,78.0,13591,97000000.0,619021436.0,tt3315342,Logan,2017.0,"Action,Drama,Sci-Fi",8.1,601501,522021436.0
1667,351286,"['Action', 'Adventure', 'Science Fiction']",Jurassic World: Fallen Kingdom,Jurassic World: Fallen Kingdom,2018-06-06,28.55,65.0,6980,170000000.0,1303459585.0,tt4881806,Jurassic World: Fallen Kingdom,2018.0,"Action,Adventure,Sci-Fi",6.2,241444,1133459585.0
1668,177677,"['Action', 'Adventure']",Mission: Impossible - Rogue Nation,Mission: Impossible - Rogue Nation,2015-07-23,22.003,71.0,5760,150000000.0,682330139.0,tt2381249,Mission: Impossible - Rogue Nation,2015.0,"Action,Adventure,Thriller",7.4,325071,532330139.0
1670,398818,"['Romance', 'Drama']",Call Me by Your Name,Call Me by Your Name,2017-09-01,20.756,83.0,6112,4000000.0,41063475.0,tt5726616,Call Me by Your Name,2017.0,"Drama,Romance",7.9,178940,37063475.0
1671,333339,"['Adventure', 'Science Fiction']",Ready Player One,Ready Player One,2018-03-28,28.509,76.0,8476,175000000.0,582890172.0,tt1677720,Ready Player One,2018.0,"Action,Adventure,Sci-Fi",7.5,332049,407890172.0
1672,338970,"['Action', 'Adventure', 'Fantasy']",Tomb Raider,Tomb Raider,2018-03-05,17.658,63.0,5057,94000000.0,274650803.0,tt1365519,Tomb Raider,2018.0,"Action,Adventure,Fantasy",6.3,177902,180650803.0
1673,449443,"['Action', 'Crime', 'Thriller']",Den of Thieves,Den of Thieves,2018-01-18,28.521,66.0,1502,30000000.0,80509622.0,tt1259528,Den of Thieves,2018.0,"Action,Crime,Drama",7.0,79180,50509622.0
1674,392044,"['Crime', 'Drama', 'Mystery']",Murder on the Orient Express,Murder on the Orient Express,2017-11-03,17.512999999999998,67.0,6175,55000000.0,351839303.0,tt3402236,Murder on the Orient Express,2017.0,"Crime,Drama,Mystery",6.5,192933,296839303.0
1675,281957,"['Western', 'Drama', 'Adventure']",The Revenant,The Revenant,2015-12-25,24.068,75.0,12345,135000000.0,532950503.0,tt1663202,The Revenant,2015.0,"Action,Adventure,Biography",8.0,659195,397950503.0
1676,399035,"['Action', 'Thriller']",The Commuter,The Commuter,2018-01-11,32.236,62.0,2766,30000000.0,119942387.0,tt1590193,The Commuter,2018.0,"Action,Mystery,Thriller",6.3,93618,89942387.0
1677,391713,"['Comedy', 'Drama']",Lady Bird,Lady Bird,2017-09-08,20.145,73.0,4632,10000000.0,76858273.0,tt4925292,Lady Bird,2017.0,"Comedy,Drama",7.4,205150,66858273.0
1679,399055,"['Drama', 'Fantasy', 'Romance']",The Shape of Water,The Shape of Water,2017-12-01,20.756,72.0,8195,19500000.0,194989655.0,tt5580390,The Shape of Water,2017.0,"Adventure,Drama,Fantasy",7.3,339661,175489655.0
1681,343611,"['Action', 'Thriller']",Jack Reacher: Never Go Back,Jack Reacher: Never Go Back,2016-10-19,13.517000000000001,56.0,3049,60000000.0,162146076.0,tt3393786,Jack Reacher: Never Go Back,2016.0,"Action,Thriller",6.1,128984,102146076.0
1682,374720,"['Action', 'Drama', 'War']",Dunkirk,Dunkirk,2017-07-19,24.590999999999998,74.0,10329,100000000.0,525573161.0,tt5013056,Dunkirk,2017.0,"Action,Drama,History",7.9,503113,425573161.0
1683,345940,"['Action', 'Horror', 'Science Fiction']",The Meg,The Meg,2018-08-09,23.133000000000003,59.0,3586,150000000.0,315960074.0,tt4779682,The Meg,2018.0,"Action,Horror,Sci-Fi",5.7,130534,165960074.0
1684,334543,['Drama'],Lion,Lion,2016-11-24,24.206,81.0,4396,12000000.0,140312928.0,tt3741834,Lion,2016.0,"Biography,Drama",8.0,193912,128312928.0
1685,315837,"['Action', 'Drama', 'Science Fiction', 'Thriller']",Ghost in the Shell,Ghost in the Shell,2017-03-29,20.152,60.0,5663,110000000.0,169801921.0,tt1219827,Ghost in the Shell,2017.0,"Action,Drama,Sci-Fi",6.3,186391,59801921.0
1686,283366,"['Adventure', 'Drama', 'Fantasy', 'Family']",Miss Peregrine's Home for Peculiar Children,Miss Peregrine's Home for Peculiar Children,2016-09-28,14.936,67.0,6873,110000000.0,296482446.0,tt1935859,Miss Peregrine's Home for Peculiar Children,2016.0,"Adventure,Drama,Fantasy",6.7,147599,186482446.0
1687,390043,"['Action', 'Comedy']",The Hitman's Bodyguard,The Hitman's Bodyguard,2017-08-16,18.937,67.0,3543,30000000.0,176586701.0,tt1959563,The Hitman's Bodyguard,2017.0,"Action,Comedy,Thriller",6.9,173853,146586701.0
1688,411088,"['Crime', 'Mystery', 'Thriller']",Contratiempo,The Invisible Guest,2016-09-22,16.268,82.0,2095,4000000.0,30000000.0,tt4857264,Contratiempo,2016.0,"Crime,Mystery,Thriller",8.1,102462,26000000.0
1689,274855,"['Action', 'Science Fiction', 'Thriller']",Geostorm,Geostorm,2017-10-13,19.137,58.0,2556,120000000.0,221600160.0,tt1981128,Geostorm,2017.0,"Action,Sci-Fi,Thriller",5.3,86318,101600160.0
1690,343668,"['Action', 'Adventure', 'Comedy']",Kingsman: The Golden Circle,Kingsman: The Golden Circle,2017-09-20,17.933,69.0,6277,104000000.0,410902662.0,tt4649466,Kingsman: The Golden Circle,2017.0,"Action,Adventure,Comedy",6.7,250377,306902662.0
1691,47971,"['Action', 'Adventure', 'Crime']",xXx: Return of Xander Cage,xXx: Return of Xander Cage,2017-01-13,19.272000000000002,56.0,2699,85000000.0,346147658.0,tt1293847,xXx: Return of Xander Cage,2017.0,"Action,Adventure,Thriller",5.2,81353,261147658.0
1692,76341,"['Action', 'Adventure', 'Science Fiction']",Mad Max: Fury Road,Mad Max: Fury Road,2015-05-13,28.5,75.0,15705,150000000.0,378858340.0,tt1392190,Mad Max: Fury Road,2015.0,"Action,Adventure,Sci-Fi",8.1,821762,228858340.0
1693,273481,"['Action', 'Crime', 'Thriller']",Sicario,Sicario,2015-09-17,17.311,73.0,4994,30000000.0,84025816.0,tt3397884,Sicario,2015.0,"Action,Crime,Drama",7.6,346400,54025816.0
1694,389015,['Drama'],"I, Tonya","I, Tonya",2017-12-08,16.118,75.0,3441,11000000.0,53939297.0,tt5580036,"I, Tonya",2017.0,"Biography,Comedy,Drama",7.5,160459,42939297.0
1695,262504,"['Action', 'Adventure', 'Mystery', 'Science Fiction']",Allegiant,Allegiant,2016-03-09,15.919,60.0,4575,110000000.0,179246868.0,tt3410834,Allegiant,2016.0,"Action,Adventure,Mystery",5.7,101224,69246868.0
1696,396535,"['Action', 'Horror', 'Thriller']",부산행,Train to Busan,2016-07-20,19.984,77.0,3164,8820000.0,87547518.0,tt5700672,Busanhaeng,2016.0,"Action,Horror,Thriller",7.5,126108,78727518.0
1697,274854,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",The Last Witch Hunter,The Last Witch Hunter,2015-10-21,14.237,58.0,2414,90000000.0,146936910.0,tt1618442,The Last Witch Hunter,2015.0,"Action,Adventure,Fantasy",6.0,90222,56936910.0
