,id,genre_ids,original_title,title,release_date,popularity,vote_average,vote_count,budget,revenue,imdb_id,originalTitle,startYear,genres,averageRating,numVotes,Gross Profit
41,299534,"['Action', 'Adventure', 'Science Fiction']",Avengers: Endgame,Avengers: Endgame,2019-04-24,38.57,83.0,11389,356000000.0,2797800564.0,tt4154796,Avengers: Endgame,2019.0,"Action,Adventure,Drama",8.5,674091,2441800564.0
3515,140607,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",Star Wars: The Force Awakens,Star Wars: The Force Awakens,2015-12-15,28.811999999999998,74.0,13865,245000000.0,2068223624.0,tt2488496,Star Wars: Episode VII - The Force Awakens,2015.0,"Action,Adventure,Sci-Fi",7.9,827462,1823223624.0
11,299536,"['Action', 'Adventure', 'Science Fiction']",Avengers: Infinity War,Avengers: Infinity War,2018-04-25,84.76799999999999,83.0,16897,300000000.0,2046239637.0,tt4154756,Avengers: Infinity War,2018.0,"Action,Adventure,Sci-Fi",8.5,750111,1746239637.0
1658,135397,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",Jurassic World,Jurassic World,2015-06-06,25.921,66.0,15085,150000000.0,1671713208.0,tt0369610,Jurassic World,2015.0,"Action,Adventure,Sci-Fi",7.0,556879,1521713208.0
28,420818,"['Adventure', 'Family']",The Lion King,The Lion King,2019-07-12,39.216,71.0,4581,260000000.0,1656943394.0,tt6105098,The Lion King,2019.0,"Adventure,Animation,Drama",6.9,169643,1396943394.0
4098,168259,"['Action', 'Thriller']",Furious 7,Furious 7,2015-04-01,22.513,73.0,7138,190000000.0,1506249360.0,tt2820852,Furious Seven,2015.0,"Action,Adventure,Thriller",7.2,345429,1316249360.0
4,330457,"['Adventure', 'Animation', 'Family']",Frozen II,Frozen II,2019-11-20,124.257,71.0,2614,33000000.0,1330764959.0,tt4520988,Frozen II,2019.0,"Adventure,Animation,Comedy",7.1,77968,1297764959.0
1648,284054,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",Black Panther,Black Panther,2018-02-13,34.269,74.0,14336,200000000.0,1346739107.0,tt1825683,Black Panther,2018.0,"Action,Adventure,Sci-Fi",7.3,566076,1146739107.0
1667,351286,"['Action', 'Adventure', 'Science Fiction']",Jurassic World: Fallen Kingdom,Jurassic World: Fallen Kingdom,2018-06-06,28.55,65.0,6980,170000000.0,1303459585.0,tt4881806,Jurassic World: Fallen Kingdom,2018.0,"Action,Adventure,Sci-Fi",6.2,241444,1133459585.0
1646,181808,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",Star Wars: The Last Jedi,Star Wars: The Last Jedi,2017-12-13,31.73,70.0,9926,200000000.0,1332459537.0,tt2527336,Star Wars: Episode VIII - The Last Jedi,2017.0,"Action,Adventure,Fantasy",7.0,525982,1132459537.0
4094,99861,"['Action', 'Adventure', 'Science Fiction']",Avengers: Age of Ultron,Avengers: Age of Ultron,2015-04-22,37.679,73.0,15094,280000000.0,1405403694.0,tt2395427,Avengers: Age of Ultron,2015.0,"Action,Adventure,Sci-Fi",7.3,701095,1125403694.0
2685,321612,"['Fantasy', 'Romance', 'Family']",Beauty and the Beast,Beauty and the Beast,2017-03-16,33.335,69.0,11948,160000000.0,1263521126.0,tt2771200,Beauty and the Beast,2017.0,"Family,Fantasy,Musical",7.1,254213,1103521126.0
