,tconst,originalTitle,startYear,genres,averageRating,numVotes
24970,tt6143970,La Lección de Anatomía,2019.0,Documentary,9.6,31
2097,tt10961232,Ranganayaki,2019.0,Drama,9.6,113
38566,tt8737124,Freshman Year,2019.0,Drama,9.6,5
607,tt10235118,Las Sanadoras,2019.0,Documentary,9.6,13
37318,tt8397926,Férid Boughedir: de l'Émotion Tunisienne au Rêve Universel,2016.0,"Biography,Documentary",9.6,8
36845,tt8286142,Ek Aasha,2018.0,Drama,9.6,7
2030,tt10919594,MrBizness Presents: The Return of Rod Mikey,2019.0,Documentary,9.5,8
11633,tt4450674,Druglawed,2015.0,"Crime,Documentary,History",9.5,122
1921,tt10867504,Fan,2019.0,Drama,9.5,852
1994,tt10910920,MrBizness Presents: Friday Nights with Banshee Will,2019.0,Documentary,9.5,8
10849,tt4329396,Trenches of Rock,2019.0,"Documentary,Drama,Music",9.5,98
22777,tt5884960,Home,2015.0,Documentary,9.5,18
40294,tt9179248,Hangover,2018.0,Action,9.5,131
2551,tt11277936,"Life to AfterLIfe: Mom, can you hear me?",2019.0,Documentary,9.5,11
33334,tt7535666,Retrocausality,2019.0,"Drama,Romance",9.5,1698
1742,tt10751548,Mudda 370 J&K,2019.0,"Action,Drama",9.5,610
32420,tt7379662,From Core to Sun,2018.0,Documentary,9.5,86
18799,tt5344358,All Around Us,2019.0,Documentary,9.5,8
9074,tt4023464,Our Friend Jon,2018.0,Documentary,9.5,45
2014,tt10915928,Like a Prayer: A Documentary Film,2019.0,Documentary,9.5,13
14703,tt4860442,Tunisia Clash,2015.0,"Documentary,Music",9.5,8
8813,tt3961860,On Thin Ice,2019.0,"Documentary,Drama,Sport",9.5,17
1357,tt10560780,Andavaada,2019.0,Drama,9.5,106
32640,tt7414870,MANRY AT SEA ~ In the Wake of a Dream,2018.0,Documentary,9.5,68
32793,tt7444626,Child of Nature,2019.0,Documentary,9.5,14
764,tt10307890,Ay Mariposa,2019.0,Documentary,9.5,8
2199,tt11033952,Square One,2019.0,"Documentary,Drama,Music",9.5,564
36212,tt8118944,My Darling Son,2018.0,Documentary,9.5,33
32004,tt7302010,Taawdo the Sunlight,2017.0,Drama,9.5,72
23800,tt6014396,Do U Want It?,2017.0,"Documentary,Music",9.5,61
38805,tt8793754,Eesti Taevas: Nähtamatud Teejuhid,2019.0,Documentary,9.5,13
38539,tt8726174,Siguiente Round,2018.0,Documentary,9.5,22
39320,tt8937100,"Higgi, Inspiring Voices",2018.0,Documentary,9.5,13
2742,tt11527420,Spirit & Truth: A Film About Worship,2019.0,Documentary,9.5,27
2692,tt11428992,Pichhodu,2019.0,Drama,9.5,601
2746,tt11531238,Faramoshnameh,2016.0,Comedy,9.5,23
467,tt10177960,Dreaming of a Vetter World,2018.0,Documentary,9.4,9
25710,tt6226458,Garage Rockin' Craze,2017.0,"Documentary,Music",9.4,9
27935,tt6558976,Palmyra,2017.0,Documentary,9.4,8
24753,tt6120498,Papanisher,2016.0,Comedy,9.4,14
1978,tt10895784,Filthy Frank Final Full Lore Movie,2018.0,Comedy,9.4,23
2485,tt11229382,While You Still Can,2019.0,Drama,9.4,8
471,tt10179154,Cypher,2019.0,"Biography,Family",9.4,21
20792,tt5637348,Indonesia Kirana,2016.0,Documentary,9.4,70
13424,tt4684624,Felled: A Documentary Film About Giving New Life to Fallen Urban Trees.,2016.0,Documentary,9.4,15
38231,tt8652564,Finding the Line,2018.0,"Documentary,Sport",9.4,17
16826,tt5119202,Going Furthur,2016.0,"Documentary,History",9.4,91
34910,tt7842888,Never-Ending Road,2017.0,Drama,9.4,54
2025,tt10918170,Sidewalk Entrepreneurs,2019.0,Documentary,9.4,8
32862,tt7459096,Ugo Dossi: Kunst und Weltraum,2017.0,Documentary,9.4,8
5361,tt3138266,Children of the Silent Revolution,2016.0,Documentary,9.4,5
23233,tt5937382,U boj,2016.0,"Documentary,History",9.4,17
29812,tt6898474,Liborio,2018.0,Documentary,9.4,10
26745,tt6379662,Angels Within,2017.0,Documentary,9.4,5
36102,tt8099226,Saving the Dark,2018.0,Documentary,9.4,37
7339,tt3668056,Still Loved,2015.0,Documentary,9.4,7
32883,tt7464864,Thalatta,2017.0,Documentary,9.4,16
17037,tt5136156,Called to Rescue,2016.0,Documentary,9.4,9
32837,tt7456158,Una Historia Necesaria,2017.0,Drama,9.4,52
41584,tt9668280,Kalla Ord,2019.0,Drama,9.4,12
16578,tt5093408,La Otra Parte,2016.0,Documentary,9.4,13
2648,tt11379468,Patham Classile Pranayam,2019.0,"Drama,Romance",9.4,526
28448,tt6657642,"Against All Odds, the Making of DEUCE of SPADES",2016.0,Documentary,9.4,12
41753,tt9742160,Finite Water,2019.0,Documentary,9.4,11
18982,tt5369048,BJJ NO-MAD: First Rule of the Fight Club,2015.0,Documentary,9.4,13
31828,tt7274624,Modernism Today,2016.0,Documentary,9.4,5
29652,tt6870298,"Barabar, Indian Ocean Redemption",2017.0,Documentary,9.4,5
5140,tt3069848,Runner,2019.0,Documentary,9.4,5
17190,tt5152888,The Screaming Sky,2015.0,Documentary,9.4,5
23169,tt5932420,Thank You for Coming,2017.0,"Comedy,Documentary,Drama",9.4,5
2555,tt11281950,Bu Can Var Oldugu Sürece,2019.0,"Biography,Crime,Drama",9.4,72
38547,tt8730716,Pick It Up! - Ska in the '90s,2019.0,Documentary,9.4,47
42108,tt9886872,Munthiri Monchan,2019.0,"Comedy,Romance",9.4,892
1727,tt10742270,Gor jeevan,2019.0,Drama,9.4,16
2763,tt11595416,The Weight of Chains 3,2019.0,Documentary,9.4,49
24630,tt6105788,Help Me Chase Those Seconds,2016.0,Documentary,9.4,21
39179,tt8897986,Family of Thakurganj,2019.0,"Action,Drama",9.4,886
5545,tt3194708,Bananaland,2016.0,Documentary,9.4,7
41709,tt9723286,Legion. Chronicle of the Ukrainian Galician Army 1918-1919,2015.0,Documentary,9.4,5
2294,tt11091724,Missed Nuance,2019.0,Documentary,9.4,5
