,id,genre_ids,original_title,title,release_date,popularity,vote_average,vote_count,budget,revenue,imdb_id
36,625489,['Comedy'],Recep İvedik 6,Recep İvedik 6,2019-11-07,40.538,49.0,13,$0.00,"$10,941,643.00",tt7399138
37,118340,"['Action', 'Adventure', 'Science Fiction']",Guardians of the Galaxy,Guardians of the Galaxy,2014-07-30,42.524,79.0,19827,"$170,000,000.00","$772,776,600.00",tt2015381
38,384018,"['Action', 'Adventure', 'Comedy']",Fast & Furious Presents: Hobbs & Shaw,Fast & Furious Presents: Hobbs & Shaw,2019-08-01,34.52,66.0,2626,"$200,000,000.00","$760,098,996.00",tt6806448
39,522627,"['Action', 'Comedy', 'Crime']",The Gentlemen,The Gentlemen,2020-01-01,39.678,79.0,366,"$18,400,000.00","$48,441,089.00",tt8367814
40,453405,"['Action', 'Science Fiction', 'Thriller']",Gemini Man,Gemini Man,2019-10-02,36.597,59.0,1493,"$138,000,000.00","$173,469,516.00",tt1025100
41,299537,"['Action', 'Adventure', 'Science Fiction']",Captain Marvel,Captain Marvel,2019-03-06,35.724,70.0,8397,"$152,000,000.00","$1,128,274,794.00",tt4154664
42,299534,"['Action', 'Adventure', 'Science Fiction']",Avengers: Endgame,Avengers: Endgame,2019-04-24,43.045,83.0,11409,"$356,000,000.00","$2,797,800,564.00",tt4154796
43,423204,"['Action', 'Thriller']",Angel Has Fallen,Angel Has Fallen,2019-08-21,41.178,60.0,1220,"$40,000,000.00","$133,365,452.00",tt6189022
44,129,"['Animation', 'Fantasy', 'Family']",千と千尋の神隠し,Spirited Away,2001-07-20,38.129,85.0,8574,"$19,000,000.00","$274,925,095.00",tt0245429
45,458156,"['Action', 'Crime', 'Thriller']",John Wick: Chapter 3 - Parabellum,John Wick: Chapter 3 - Parabellum,2019-05-15,41.392,71.0,3954,"$55,000,000.00","$326,699,296.00",tt6146586
46,522938,"['Action', 'Drama', 'Thriller']",Rambo: Last Blood,Rambo: Last Blood,2019-09-19,34.805,59.0,1288,"$50,000,000.00","$91,490,353.00",tt1206885
47,331482,"['Drama', 'Romance']",Little Women,Little Women,2019-12-25,44.108,80.0,1242,"$40,000,000.00","$191,540,586.00",tt3281548
48,486589,"['Animation', 'Romance']",Red Shoes,Red Shoes,2019-07-25,30.738,64.0,106,$0.00,"$5,362,776.00",tt4429160
49,548473,"['Horror', 'Science Fiction']",Color Out of Space,Color Out of Space,2020-01-24,36.233,63.0,90,"$6,000,000.00",$0.00,tt5073642
50,571891,"['Action', 'Adventure', 'Animation', 'Fantasy', 'Family']",劇場版ポケットモンスター ミュウツーの逆襲 EVOLUTION,Pokémon: Mewtwo Strikes Back - Evolution,2019-07-12,36.161,68.0,68,$0.00,$0.00,tt8856470
51,672,"['Adventure', 'Fantasy']",Harry Potter and the Chamber of Secrets,Harry Potter and the Chamber of Secrets,2002-11-13,35.843,77.0,13303,"$100,000,000.00","$876,688,482.00",tt0295297
52,399579,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",Alita: Battle Angel,Alita: Battle Angel,2019-01-31,29.828,69.0,4338,"$170,000,000.00","$404,852,543.00",tt0437086
53,320288,"['Action', 'Adventure', 'Science Fiction']",Dark Phoenix,Dark Phoenix,2019-06-05,39.623,60.0,2937,"$200,000,000.00","$245,000,000.00",tt6565702
54,166428,"['Adventure', 'Animation', 'Family']",How to Train Your Dragon: The Hidden World,How to Train Your Dragon: The Hidden World,2019-01-03,26.753,77.0,3091,"$129,000,000.00","$517,526,875.00",tt2386490
55,535292,"['Action', 'Crime', 'Drama']",21 Bridges,21 Bridges,2019-10-24,34.495,62.0,344,"$33,000,000.00","$47,088,457.00",tt8688634
56,301528,"['Adventure', 'Animation', 'Comedy', 'Fantasy', 'Family']",Toy Story 4,Toy Story 4,2019-06-19,33.643,75.0,3776,"$175,000,000.00","$1,073,394,593.00",tt1979376
57,531428,"['Drama', 'Romance']",Portrait de la jeune fille en feu,Portrait of a Lady on Fire,2019-06-17,41.419,83.0,341,$0.00,$0.00,tt8613070
58,8392,"['Animation', 'Fantasy', 'Family']",となりのトトロ,My Neighbor Totoro,1988-04-16,33.649,81.0,3998,$0.00,$0.00,tt0096283
59,614375,['Drama'],F#*@BOIS,F#*@BOIS,2019-08-02,44.588,0.0,0,$0.00,$0.00,
60,528888,"['Comedy', 'Drama', 'History']",Dolemite Is My Name,Dolemite Is My Name,2019-10-04,32.98,71.0,439,$0.00,$0.00,tt8526872
61,474350,"['Drama', 'Fantasy', 'Horror']",It Chapter Two,It Chapter Two,2019-09-04,35.843,68.0,3258,"$79,000,000.00","$472,093,228.00",tt7349950
62,398978,"['Crime', 'Drama', 'History']",The Irishman,The Irishman,2019-11-01,31.09,78.0,2767,"$159,000,000.00","$607,420.00",tt1302006
63,373571,"['Action', 'Science Fiction']",Godzilla: King of the Monsters,Godzilla: King of the Monsters,2019-05-29,31.252,62.0,2111,"$170,000,000.00","$385,900,138.00",tt3741700
64,284052,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",Doctor Strange,Doctor Strange,2016-10-25,25.685,74.0,14182,"$165,000,000.00","$677,700,000.00",tt1211837
65,424694,"['Drama', 'Music']",Bohemian Rhapsody,Bohemian Rhapsody,2018-10-24,28.964,80.0,10037,"$52,000,000.00","$894,027,543.00",tt1727824
66,509967,"['Action', 'Comedy', 'Thriller']",6 Underground,6 Underground,2019-12-13,25.035,62.0,1569,"$150,000,000.00",$0.00,tt8106534
67,447404,"['Action', 'Adventure', 'Fantasy']",Pokémon Detective Pikachu,Pokémon Detective Pikachu,2019-05-03,29.183,69.0,3257,"$150,000,000.00","$431,605,346.00",tt5884052
68,259316,"['Adventure', 'Fantasy', 'Family']",Fantastic Beasts and Where to Find Them,Fantastic Beasts and Where to Find Them,2016-11-16,27.489,74.0,13390,"$180,000,000.00","$809,342,332.00",tt3183660
69,505954,"['Action', 'War']",T-34,T-34,2018-12-27,30.68,57.0,243,"$10,000,000.00",$0.00,tt8820590
70,271110,"['Action', 'Adventure', 'Science Fiction']",Captain America: Civil War,Captain America: Civil War,2016-04-27,29.627,74.0,15499,"$240,000,000.00","$1,153,304,495.00",tt3498820
71,209112,"['Action', 'Adventure', 'Fantasy']",Batman v Superman: Dawn of Justice,Batman v Superman: Dawn of Justice,2016-03-23,24.703,58.0,12850,"$250,000,000.00","$873,260,194.00",tt2975590
72,506574,"['Adventure', 'Music', 'Family', 'TV Movie']",Descendants 3,Descendants 3,2019-08-09,24.088,77.0,534,$0.00,$0.00,tt8022928
73,450465,"['Drama', 'Science Fiction', 'Thriller']",Glass,Glass,2019-01-16,26.284,65.0,4635,"$20,000,000.00","$246,941,965.00",tt6823368
74,603,"['Action', 'Science Fiction']",The Matrix,The Matrix,1999-03-30,35.021,81.0,16146,"$63,000,000.00","$463,517,383.00",tt0133093
75,543540,"['Comedy', 'Romance']",The Perfect Date,The Perfect Date,2019-04-12,26.848,63.0,1958,$0.00,$0.00,tt8201170
76,492188,['Drama'],Marriage Story,Marriage Story,2019-11-06,30.308,79.0,2689,"$8,600,000.00",$0.00,tt7653254
77,419430,"['Horror', 'Mystery', 'Thriller']",Get Out,Get Out,2017-02-24,21.137,75.0,10260,"$4,500,000.00","$255,407,969.00",tt5052448
78,540158,"['Romance', 'Family']",High Strung Free Dance,High Strung Free Dance,2018-09-13,27.243,75.0,104,$0.00,$0.00,tt6428150
79,338952,"['Adventure', 'Fantasy', 'Family']",Fantastic Beasts: The Crimes of Grindelwald,Fantastic Beasts: The Crimes of Grindelwald,2018-11-14,27.905,68.0,6182,"$200,000,000.00","$653,355,901.00",tt4123430
80,68718,"['Drama', 'Western']",Django Unchained,Django Unchained,2012-12-25,21.261,81.0,17537,"$100,000,000.00","$425,368,238.00",tt1853728
81,260513,"['Action', 'Adventure', 'Animation', 'Family']",Incredibles 2,Incredibles 2,2018-06-14,27.356,75.0,7720,"$200,000,000.00","$1,241,891,456.00",tt3606756
82,599975,"['Horror', 'Thriller']",Countdown,Countdown,2019-10-24,28.163,62.0,347,$0.00,$0.00,tt10039344
83,549053,"['Comedy', 'Drama', 'Romance']",Last Christmas,Last Christmas,2019-11-07,23.545,70.0,568,"$30,000,000.00","$121,550,750.00",tt8623904
84,540247,"['Action', 'Adventure', 'Science Fiction']",Jurassic Galaxy,Jurassic Galaxy,2018-08-20,30.889,40.0,49,$0.00,$0.00,tt8783146
85,503919,"['Drama', 'Fantasy', 'Horror', 'Mystery']",The Lighthouse,The Lighthouse,2019-10-18,25.633,77.0,884,"$4,000,000.00","$15,667,104.00",tt7984734
86,622327,"['Comedy', 'Drama', 'Romance']",The Panti Sisters,The Panti Sisters,2019-09-13,21.987,35.0,2,$0.00,"$8,727,994.00",tt10637682
87,404368,"['Adventure', 'Animation', 'Comedy', 'Family']",Ralph Breaks the Internet,Ralph Breaks the Internet,2018-11-20,25.409,72.0,3770,"$175,000,000.00","$529,221,154.00",tt5848272
88,484641,"['Action', 'Thriller']",Anna,Anna,2019-06-19,32.739,65.0,874,"$34,000,000.00","$30,041,730.00",tt7456310
89,335983,"['Action', 'Science Fiction']",Venom,Venom,2018-09-28,31.008,66.0,8023,"$116,000,000.00","$855,013,954.00",tt1270797
90,287947,"['Action', 'Comedy', 'Fantasy']",Shazam!,Shazam!,2019-03-29,27.045,70.0,4382,"$80,000,000.00","$363,533,271.00",tt0448115
91,461130,"['Action', 'Crime', 'Drama', 'Science Fiction', 'Thriller']",Code 8,Code 8,2019-12-06,24.958,61.0,294,$0.00,$0.00,tt6259380
92,381284,"['Drama', 'History']",Hidden Figures,Hidden Figures,2016-12-10,26.286,80.0,5480,"$25,000,000.00","$230,698,791.00",tt4846340
93,480105,['Horror'],47 Meters Down: Uncaged,47 Meters Down: Uncaged,2019-08-15,29.943,49.0,458,"$12,000,000.00",$0.00,tt7329656
94,431580,"['Adventure', 'Animation', 'Comedy', 'Family']",Abominable,Abominable,2019-09-19,28.828,71.0,505,"$75,000,000.00","$111,615,070.00",tt6324278
95,297802,"['Action', 'Adventure', 'Fantasy']",Aquaman,Aquaman,2018-12-07,24.246,68.0,7989,"$160,000,000.00","$1,143,689,193.00",tt1477834
